[2026-06-02T05:11:49.648Z] GET http://localhost:5173/node_modules/.vite/deps/react-router-dom.js?v=93500f84 → 200 (31ms, 399015B)
[2026-06-02T05:11:49.648Z] GET http://localhost:5173/src/index.css → 200 (25ms, 4152B)
[2026-06-02T05:11:49.648Z] GET http://localhost:5173/src/App.tsx → 200 (7ms, 6182B)
[2026-06-02T05:11:49.648Z] GET http://localhost:5173/src/context/AuthContext.tsx → 200 (9ms, 7905B)
[2026-06-02T05:11:49.648Z] GET http://localhost:5173/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=93500f84 → 200 (17ms, 10573B)
[2026-06-02T05:11:49.656Z] GET http://localhost:5173/src/pages/LandingPage/LandingPage.tsx → 200 (9ms, 88966B)
[2026-06-02T05:11:49.656Z] GET http://localhost:5173/src/pages/LoginPage/LoginPage.tsx → 200 (16ms, 62431B)
[2026-06-02T05:11:49.656Z] GET http://localhost:5173/src/pages/ExplorePage/ExplorePage.tsx → 200 (16ms, 32309B)
[2026-06-02T05:11:49.656Z] GET http://localhost:5173/src/pages/DashboardPage/DashboardPage.tsx → 200 (24ms, 26662B)
[2026-06-02T05:11:49.656Z] GET http://localhost:5173/src/pages/EditorPage/EditorPage.tsx → 200 (25ms, 38728B)
[2026-06-02T05:11:49.656Z] GET http://localhost:5173/src/pages/PlayPage/PlayPage.tsx → 200 (20ms, 46660B)
[2026-06-02T05:11:49.657Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-B-1-B7_t.js?v=93500f84 → 200 (22ms, 7614B)
[2026-06-02T05:11:49.657Z] GET http://localhost:5173/src/api/auth.ts → 200 (26ms, 2342B)
[2026-06-02T05:11:49.665Z] GET http://localhost:5173/src/pages/LandingPage/LandingPage.module.css → 200 (16ms, 17484B)
[2026-06-02T05:11:49.672Z] GET http://localhost:5173/src/pages/LoginPage/LoginPage.module.css → 200 (9ms, 10024B)
[2026-06-02T05:11:49.673Z] GET http://localhost:5173/src/pages/ExplorePage/ExplorePage.module.css → 200 (8ms, 13864B)
[2026-06-02T05:11:49.673Z] GET http://localhost:5173/src/api/projects.ts → 200 (11ms, 3980B)
[2026-06-02T05:11:49.680Z] GET http://localhost:5173/node_modules/.vite/deps/react-dom.js?v=93500f84 → 200 (4ms, 14630B)
[2026-06-02T05:11:49.680Z] GET http://localhost:5173/node_modules/.vite/deps/blockly.js?v=93500f84 → 200 (26ms, 1265984B)
[2026-06-02T05:11:49.680Z] GET http://localhost:5173/src/pages/PlayPage/PlayPage.module.css → 200 (10ms, 16685B)
[2026-06-02T05:11:49.680Z] GET http://localhost:5173/src/hooks/useToast.ts → 200 (10ms, 2434B)
[2026-06-02T05:11:49.680Z] GET http://localhost:5173/src/components/Toast/Toast.tsx → 200 (11ms, 4724B)
[2026-06-02T05:11:49.680Z] GET http://localhost:5173/src/components/ShareModal/ShareModal.tsx → 200 (14ms, 9061B)
